,n,k,name,was_broken,iters,ans
30,5,1,gradient_search,False,1,"[-7.279295727684039, -0.603118617512497, 5.229478724936454, -3.33982514227104, -8.052990593360823]"
31,5,1,bfgs,False,11,[1.00000025 1.00000025 1.00000024 1.00000025 1.00000026]
32,5,5,gradient_search,False,1,"[3.0689461993003664, 2.0675739936206505, 2.837545510836843, 0.7878764942001149, -7.795188390514232]"
33,5,5,bfgs,False,11,[1.00000008 1.00000008 1.00000008 1.00000008 1.00000009]
34,5,10,gradient_search,False,1,"[-5.783600884409445, 8.756506561996858, -8.284701364125775, -4.170698437257359, 0.7732793070331945]"
35,5,10,bfgs,False,11,[1. 1. 1. 1. 1.]
36,10,1,gradient_search,False,1,"[3.3459667714260632, -8.910055686548063, -0.9738043518912276, 8.350864641305138, -3.488884484225907, 9.583586877966997, -2.4762594523577164, -9.592771116392086, 5.091178478211096, 2.9701882167244764]"
37,10,1,bfgs,False,16,"[1.00000479 1.00000463 1.00000459 1.00000464 1.00000447 1.00000442
 1.00000422 1.00000409 1.00000421 1.00000421]"
38,10,5,gradient_search,False,1,"[9.45512202024833, -0.4775091985889679, -4.2987051832042145, -9.610423754840848, -2.344456683288001, 3.178749831504346, -8.7651454866958, 1.040805776211191, 6.802327051204548, -5.280659902712934]"
39,10,5,bfgs,False,17,"[0.99999999 0.99999998 0.99999998 0.99999998 0.99999998 0.99999998
 0.99999998 0.99999998 0.99999998 0.99999997]"
40,10,10,gradient_search,False,1,"[-7.554175188929393, -1.016555394927452, 3.4197370158596563, -7.331299524811568, 7.796950133594653, -6.550577932537953, -4.667980092894803, 6.662895555834081, 6.3650344252636, 2.582351041748736]"
41,10,10,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
